facilityType,seNumber,seCode,seName,rootCriterionCode,rootDescription,subCriteriaCodes,sortOrder,active
HOSPITAL,22,SE 22,Emergency Care,22.13.1.1,There are processes that support patient and family rights during care.,22.13.1.2|22.13.1.3|22.13.1.4,15,TRUE
HOSPITAL,22,SE 22,Emergency Care,22.14.1.1,The department identifies the procedures and processes associated with the risk of infection and implements strategies to reduce risk,22.14.1.2|22.14.1.3|22.14.1.4|22.14.1.5,16,TRUE
HOSPITAL,23,SE 23,Outpatient Care,23.1.1.4,During the hours of operation there is an adequate number of qualified professionals available to provide continuous cover to all sections at all times,23.1.1.5|23.1.1.6|23.1.1.7,1,TRUE
HOSPITAL,23,SE 23,Outpatient Care,23.1.2.1,The patient's clinical records are completed according to guidelines determined by the organisation.,23.1.2.2|23.1.2.3|23.1.2.4|23.1.2.5|23.1.2.6|23.1.2.7,2,TRUE
HOSPITAL,23,SE 23,Outpatient Care,23.2.1.1,Patient and staff accommodation in the service is adequate to meet patient care needs.,23.2.1.2|23.2.1.3|23.2.1.4|23.2.1.5|23.2.1.6|23.2.1.7|23.2.1.8,3,TRUE
HOSPITAL,23,SE 23,Outpatient Care,23.4.1.1,The organisation implements policies and procedures for assessing patients on admission and during on-going care,23.4.1.2|23.4.1.3|23.4.1.4,4,TRUE
HOSPITAL,23,SE 23,Outpatient Care,23.6.1.1,There is a documented process for obtaining informed consent.,23.6.1.2|23.6.1.3|23.6.1.4,5,TRUE
HOSPITAL,23,SE 23,Outpatient Care,23.7.1.1,"Policies and procedures that guide the safe prescribing, ordering, storage, dispensing and administration of medications are implemented.",23.7.1.2|23.7.1.3|23.7.1.4|23.7.2.1|23.7.2.2|23.7.2.3|23.7.2.4|23.7.2.5|23.7.2.6|23.7.2.7|23.7.2.8|23.7.3.1|23.7.3.2|23.7.3.3|23.7.3.4|23.7.3.5|23.7.3.6|23.7.3.7|23.7.3.8|23.7.3.9,6,TRUE
HOSPITAL,23,SE 23,Outpatient Care,23.9.1.1,Established criteria or policies that determine the appropriateness of transfers within the organisation are implemented.,23.9.1.2|23.9.1.3|23.9.1.4,7,TRUE
HOSPITAL,23,SE 23,Outpatient Care,23.9.2.1,"There is a process, known to staff, for admitting patients to the organisation.",23.9.2.2|23.9.2.3|23.9.2.4,8,TRUE
HOSPITAL,23,SE 23,Outpatient Care,23.9.3.1,Policies and procedures that guide the movement of patients for referral to another organisation are implemented.,23.9.3.2|23.9.2.3,9,TRUE
HOSPITAL,23,SE 23,Outpatient Care,23.9.4.1,There is a documented process for transferring patients to other organisations.,23.9.4.2|23.9.4.3|23.9.4.4|23.9.4.6|23.9.3.5|23.9.4.7,10,TRUE
HOSPITAL,23,SE 23,Outpatient Care,23.9.5.1,There is a documented process to appropriately discharge patients.,23.9.5.2|23.9.5.3|23.9.5.4|23.9.5.5,11,TRUE
HOSPITAL,23,SE 23,Outpatient Care,23.11.1.1,There are processes that support patient and family rights during care.,23.11.1.2|23.11.1.3,12,TRUE
HOSPITAL,23,SE 23,Outpatient Care,23.12.1.1,The department identifies the procedures and processes associated with the risk of infection and implements strategies to reduce risk.,23.12.1.2|23.12.1.3|23.12.1.4|23.12.1.5,13,TRUE
HOSPITAL,24,SE 24,Combined Outpatient and Emergency Care,24.1.1.4,During the hours of operation there is an adequate number of qualified professionals available to provide continuous cover to all sections at all times.,24.1.15|24.1.1.6|24.1.1.7,1,TRUE
HOSPITAL,24,SE 24,Combined Outpatient and Emergency Care,24.1.2.1,The patient's clinical records are completed according to guidelines determined by the organisation.,24.1.2.2|24.1.2.3|24.1.2.4|24.1.2.5|24.1.2.6|24.1.2.7,2,TRUE
HOSPITAL,24,SE 24,Combined Outpatient and Emergency Care,24.2.1.1,Patient and staff accommodation in the service is adequate to meet patient care needs.,24.2.1.2|24.2.1.3|24.2.1.4|24.2.1.5|24.2.1.6|24.2.1.7|24.2.1.8,3,TRUE
HOSPITAL,24,SE 24,Combined Outpatient and Emergency Care,24.3.1.1,The organisation's policy on visitors to the emergency unit is implemented.,24.3.1.2|24.3.1.3|24.3.1.4|24.3.1.5,4,TRUE
HOSPITAL,24,SE 24,Combined Outpatient and Emergency Care,24.4.1.1,A register is kept of patients attending the emergency unit,24.4.1.2|24.4.1.3,5,TRUE
HOSPITAL,24,SE 24,Combined Outpatient and Emergency Care,24.5.1.1,Clinical practice guidelines relevant to the patients and services of the organisation are available to guide patient care processes.,24.5.1.2,6,TRUE
HOSPITAL,24,SE 24,Combined Outpatient and Emergency Care,24.6.2.1,The organisation implements policies and procedures for assessing patients on admission and during on-going care,24.6.2.2|24.6.2.3|24.6.2.4,7,TRUE
HOSPITAL,24,SE 24,Combined Outpatient and Emergency Care,24.8.1.1,There is a documented process for obtaining informed consent.,24.8.1.2|24.8.1.3|24.8.1.4|24.8.1.5,8,TRUE
HOSPITAL,24,SE 24,Combined Outpatient and Emergency Care,24.9.1.1,"Policies and procedures that guide the safe prescribing, ordering, storage, dispensing and administration of medications are implemented.",24.9.1.2|24.9.1.3|24.9.1.4|24.9.1.5|24.9.2.1|24.9.2.2|24.9.2.3|24.9.2.4|24.9.2.5|24.9.2.6|24.9.2.7|24.9.2.8|24.9.3.1|24.9.3.2|24.9.3.3|24.9.3.4|24.9.3.5|24.9.3.6|24.9.3.7|24.9.3.8|24.9.3.9,9,TRUE
HOSPITAL,24,SE 24,Combined Outpatient and Emergency Care,24.11.1.1,Established criteria or policies that determine the appropriateness of transfers within the organisation are implemented.,24.11.1.2|24.11.1.3|24.11.1.4,10,TRUE
HOSPITAL,24,SE 24,Combined Outpatient and Emergency Care,24.11.2.1,Policies and procedures that address the holding of patients for observation are implemented.,24.11.2.2|24.11.2.3|24.11.2.4|24.11.2.5|24.11.2.6,11,TRUE
HOSPITAL,24,SE 24,Combined Outpatient and Emergency Care,24.11.3.1,"There is a process, known to personnel, for admitting patients to the organisation",24.11.3.2|24.11.3.3|24.11.3.4,12,TRUE
HOSPITAL,24,SE 24,Combined Outpatient and Emergency Care,24.11.4.1,Policies and procedures that guide the movement of patients for referral to another organisation are implemented.,24.11.4.2|24.11.4.3,13,TRUE
HOSPITAL,24,SE 24,Combined Outpatient and Emergency Care,24.11.5.1,There is a documented process for transferring patients to other organisations,24.11.5.2|24.11.5.3|24.11.5.4|24.11.5.5|24.11.5.6|24.11.5.7|24.11.5.8,14,TRUE
HOSPITAL,24,SE 24,Combined Outpatient and Emergency Care,24.11.6.1,There is a documented process to appropriately discharge patients.,24.11.6.2|24.11.6.3|24.11.6.4|24.11.6.5,15,TRUE
HOSPITAL,24,SE 24,Combined Outpatient and Emergency Care,24.13.1.1,There are processes that support patient and family rights during care.,24.13.1.2|24.13.1.3,16,TRUE
HOSPITAL,24,SE 24,Combined Outpatient and Emergency Care,24.14.1.1,The department identifies the procedures and processes associated with the risk of infection and implements strategies to reduce risk,24.14.1.2|24.14.1.3|24.14.1.4|24.14.1.5,17,TRUE
HOSPITAL,25,SE 25,Sterilising and Disinfecting Unit,25.2.1.1,The design of the sterilising and disinfecting unit and the layout of equipment ensure flow of work from the soiled to the clean side of the unit.,25.2.1.2|25.2.1.3|25.2.1.4|25.2.1.5,1,TRUE
HOSPITAL,25,SE 25,Sterilising and Disinfecting Unit,25.4.1.1,The department identifies the procedures and processes associated with the risk of infection and implements strategies to reduce risk.,25.4.1.2|25.4.1.3|25.4.1.4,2,TRUE
HOSPITAL,26,SE 26,Food Service,26.2.1.1,The food service area meets health and safety regulations,26.2.1.2|26.2.1.3|26.2.1.4|26.2.1.5|26.2.1.6,1,TRUE
HOSPITAL,26,SE 26,Food Service,26.2.2.2,"There are adequate, suitable and conveniently placed change rooms, toilets and ablution facilities for food handlers.",26.2.2.3|26.2.2.4,2,TRUE
HOSPITAL,26,SE 26,Food Service,26.3.1.1,"The departmental manager ensures the availability and implementation of policies and procedures, which address at least items a) to g) in the intent above.",26.3.1.2|26.3.1.3|26.3.1.4,3,TRUE
HOSPITAL,26,SE 26,Food Service,26.4.1.1,A suitably qualified person advises on meal development.,26.4.1.2|26.4.1.3|26.4.1.4|26.4.1.5|26.4.1.6|26.4.1.7|26.4.1.8,4,TRUE
HOSPITAL,26,SE 26,Food Service,26.5.3.3,"The management ensures that the storage of food in dry storage, refrigerators and freezers complies with food hygiene regulations.",26.5.3.4|26.5.3.5|26.5.3.6|26.5.3.7|26.5.3.8|26.5.3.9,5,TRUE
HOSPITAL,26,SE 26,Food Service,26.7.1.1,There are processes that support patient and family rights related to nutrition.,26.7.1.2,6,TRUE
HOSPITAL,26,SE 26,Food Service,26.8.1.1,The department identifies the procedures and processes associated with the risk of infection and implements strategies to reduce risk.,26.8.1.2|26.8.1.3,7,TRUE
HOSPITAL,27,SE 27,Linen Management,27.2.1.1,The space in the laundry is adequate to deal with the calculated or estimated dry weight of articles to be processed and the type of washing equipment.,27.2.1.2|27.2.1.3|27.2.1.5|27.2.1.6|27.2.1.7|27.2.1.8|27.2.1.10|27.2.1.11,1,TRUE
HOSPITAL,27,SE 27,Linen Management,27.3.1.1,"The departmental manager ensures that policies and procedures, which address at least items a) to j) in the intent above, are available to guide the department.",27.3.1.2|27.3.1.3|27.3.1.4,2,TRUE
HOSPITAL,27,SE 27,Linen Management,27.5.1.1,There are processes that support patient and family rights related to bed-linen provision for comfort.,27.5.1.2,3,TRUE
HOSPITAL,27,SE 27,Linen Management,27.6.1.1,The department identifies the procedures and processes associated with the risk of infection and implements strategies to reduce risk.,27.6.1.2|27.6.1.3|27.6.1.4,4,TRUE
HOSPITAL,28,SE 28,Housekeeping Service,28.2.1.1,Secure storage areas and well-maintained equipment are available to the housekeeping personnel.,28.2.1.2|28.2.1.3|28.2.1.4|28.2.1.7,1,TRUE
HOSPITAL,28,SE 28,Housekeeping Service,28.3.1.1,"The departmental manager ensures that policies and procedures, which address at least items a) to g) in the intent above, are available to guide the department.",28.3.1.2|28.3.1.3|28.3.1.4,2,TRUE
HOSPITAL,28,SE 28,Housekeeping Service,28.4.1.1,Waste is segregated in accordance with documented controls.,28.4.1.2|28.4.1.3|28.4.1.4,3,TRUE
HOSPITAL,28,SE 28,Housekeeping Service,28.6.1.1,There are processes that support patient and family rights related to a safe and clean environment.,28.6.1.2,4,TRUE
HOSPITAL,28,SE 28,Housekeeping Service,28.7.1.1,The department identifies the procedures and processes associated with the risk of infection and implements strategies to reduce risk.,28.7.1.2|28.7.1.3|28.7.1.4|28.7.1.5,5,TRUE
HOSPITAL,29,SE 29,Maintenance Service,29.2.1.1,The facility has a documented preventive maintenance management programme or systems in place.,29.2.1.2|29.2.1.3|29.2.1.4|29.2.1.5|29.2.1.6|29.2.1.7,1,TRUE
HOSPITAL,29,SE 29,Maintenance Service,29.2.2.1,"Medical gases (oxygen, nitrous oxide and medical air) supplies are available according to the operational requirements of the institution.",29.2.2.2|29.2.2.3|29.2.2.4|29.2.2.5|29.2.2.6,2,TRUE
HOSPITAL,29,SE 29,Maintenance Service,29.5.1.1,Infection control processes include prevention of infection by using appropriate protective clothing in high risk clinical areas.,29.5.1.2|29.5.1.3,3,TRUE
HOSPITAL,30,SE 30,Resuscitation System,30.1.1.1,The organisation establishes a Resuscitation Committee to advice on the required resuscitation equipment and procedures.,30.1.1.2|30.1.1.4|30.1.1.6|30.1.1.7|30.1.1.8|30.1.1.9,1,TRUE
HOSPITAL,30,SE 30,Resuscitation System,30.3.1.1,The Resuscitation Committee develops a continuing education strategy to ensure that all personnel in the organisation are trained in cardio-pulmonary resuscitation.,30.3.1.2|30.3.1.3|30.3.1.4|30.3.1.5|30.3.1.6,2,TRUE
HOSPITAL,31,SE 31,Medical Equipment Management Service,31.1.1.3,A Multidisciplinary advisory committee is appointed to represent managers and clinical and technical personnel involved in the management and use of medical equipment.,31.1.1.4|31.1.1.5|31.1.1.6|31.1.1.7,1,TRUE
HOSPITAL,31,SE 31,Medical Equipment Management Service,31.4.1.1,Clinical engineering personnel implement risk management processes in terms of the organisational risk management systems,31.4.1.2|31.4.1.3|31.4.1.4|31.4.1.5|31.4.1.6|31.4.1.7,2,TRUE
HOSPITAL,31,SE 31,Medical Equipment Management Service,31.6.1.1,The department identifies the procedures and processes associated with the risk of infection and implements strategies to reduce risk.,31.6.1.2|31.6.1.3,3,TRUE
HOSPITAL,32,SE 32,Physiotherapy Service,32.2.1.1,There is adequate space for physiotherapists to treat patients effectively.,32.2.1.3|32.2.1.4,1,TRUE
HOSPITAL,32,SE 32,Physiotherapy Service,32.3.1.1,Policies and procedures that guide the personnel in the management and clinical aspects of the physiotherapy service are available and implemented.,32.3.1.2|32.3.1.3|32.3.1.4,2,TRUE
HOSPITAL,32,SE 32,Physiotherapy Service,32.4.1.1,There is a multidisciplinary/interdisciplinary approach to the development and implementation of a therapeutic programme.,32.4.1.2|32.4.1.3|32.4.1.4|32.4.1.5|32.4.1.6,3,TRUE
HOSPITAL,32,SE 32,Physiotherapy Service,32.5.1.1,Patients and families indicate that they have been informed about participation in the care process.,32.5.1.2|32.5.1.3|32.5.1.4|32.5.1.5,4,TRUE
HOSPITAL,32,SE 32,Physiotherapy Service,32.7.1.1,There are processes that support patient and family rights during care.,32.7.1.2|32.7.1.3,5,TRUE
HOSPITAL,32,SE 32,Physiotherapy Service,32.8.1.1,The department identifies the procedures and processes associated with the risk of infection and implements strategies to reduce risk.,32.8.1.2|32.8.1.3,6,TRUE
HOSPITAL,33,SE 33,Occupational Therapy Service,33.2.1.1,There is adequate space for occupational therapists to treat patients effectively.,33.2.1.3|33.2.1.4,1,TRUE
HOSPITAL,33,SE 33,Occupational Therapy Service,33.3.1.1,Policies and procedures are available to guide the personnel in the management and clinical aspects of the occupational therapy service.,33.3.1.2|33.3.1.3|33.3.1.4,2,TRUE
HOSPITAL,33,SE 33,Occupational Therapy Service,33.4.1.1,There is a multidisciplinary/interdisciplinary approach to the development and implementation of a therapeutic programme.,33.4.1.2|33.4.1.3|33.4.1.4|33.4.1.5|33.4.1.6,3,TRUE
HOSPITAL,33,SE 33,Occupational Therapy Service,33.5.1.1,Patients and families indicate that they have been informed about participation in the care process.,33.5.1.2|33.5.1.3|33.5.1.4,4,TRUE
HOSPITAL,33,SE 33,Occupational Therapy Service,33.7.1.1,There are processes that support patient and family rights during care.,33.7.1.2|33.7.1.3,5,TRUE
HOSPITAL,33,SE 33,Occupational Therapy Service,33.8.1.1,The department identifies the procedures and processes associated with the risk of infection and implements strategies to reduce risk.,33.8.1.2|33.8.1.3,6,TRUE
HOSPITAL,34,SE 34,Dietetic Service,34.2.1.1,There is adequate space for dieticians to treat patients effectively.,34.2.1.3|34.2.1.4,1,TRUE
HOSPITAL,34,SE 34,Dietetic Service,34.3.1.1,Policies and procedures that guide the personnel in the management and clinical aspects of the dietetic service are available and implemented.,34.3.1.2|34.3.1.3|34.3.1.4,2,TRUE
HOSPITAL,34,SE 34,Dietetic Service,34.4.1.1,There is a multidisciplinary/interdisciplinary approach to the development and implementation of a therapeutic programme.,34.4.1.2|34.4.1.3|34.4.1.4|34.4.1.5|34.4.1.6,3,TRUE
HOSPITAL,34,SE 34,Dietetic Service,34.5.1.1,Patients and families indicate that they have been informed about participation in the care process.,34.5.1.2|34.5.1.3|34.5.1.4,4,TRUE
HOSPITAL,34,SE 34,Dietetic Service,34.7.1.1,There are processes that support patient and family rights during care.,34.7.1.2|34.7.1.3,5,TRUE
HOSPITAL,34,SE 34,Dietetic Service,34.8.1.1,The department identifies the procedures and processes associated with the risk of infection and implements strategies to reduce risk.,34.8.1.2|34.8.1.3|34.8.1.4,6,TRUE
HOSPITAL,35,SE 35,Speech Therapy Service,35.2.1.1,There is adequate space for speech therapists to treat patients effectively.,35.2.1.3|35.2.1.4,1,TRUE
HOSPITAL,35,SE 35,Speech Therapy Service,35.3.1.1,Policies and procedures that guide the personnel in the management and clinical aspects of the speech therapy service are implemented.,35.3.1.2|35.3.1.3|35.3.1.4,2,TRUE
HOSPITAL,35,SE 35,Speech Therapy Service,35.4.1.1,There is a multidisciplinary/interdisciplinary approach to the development and implementation of a therapeutic programme.,35.4.1.2|35.4.1.3|35.4.1.4|35.4.1.5|35.4.1.6,3,TRUE
HOSPITAL,35,SE 35,Speech Therapy Service,35.5.1.1,Patients and families indicate that they have been informed about participation in the care process.,35.5.1.2|35.5.1.3,4,TRUE
HOSPITAL,35,SE 35,Speech Therapy Service,35.7.1.1,There are processes that support patient and family rights during care.,35.7.1.2|35.7.1.3,5,TRUE
HOSPITAL,35,SE 35,Speech Therapy Service,35.8.1.1,The department identifies the procedures and processes associated with the risk of infection and implements strategies to reduce risk.,35.8.1.2|35.8.1.3,6,TRUE
HOSPITAL,36,SE 36,Clinical Psychology Service,36.2.1.1,There is adequate space for clinical psychologists to treat patients effectively.,36.2.1.3|36.2.1.4,1,TRUE
HOSPITAL,36,SE 36,Clinical Psychology Service,36.3.1.1,Policies and procedures that guide the personnel in the management and clinical aspects of the clinical psychology service are implemented.,36.3.1.2|36.3.1.3|36.3.1.4,2,TRUE
HOSPITAL,36,SE 36,Clinical Psychology Service,36.4.1.1,There is a multidisciplinary/interdisciplinary approach to the development and implementation of a therapeutic programme.,36.4.1.2|36.4.1.3|36.4.1.4|36.4.1.5|36.4.1.6,3,TRUE
HOSPITAL,36,SE 36,Clinical Psychology Service,36.5.1.1,Patients and families indicate that they have been informed about participation in the care process.,36.5.1.2|36.5.1.3|36.5.1.4,4,TRUE
HOSPITAL,36,SE 36,Clinical Psychology Service,36.7.1.1,There are processes that support patient and family rights during care.,36.7.1.2|36.7.1.3,5,TRUE
HOSPITAL,36,SE 36,Clinical Psychology Service,36.8.1.1,The department identifies the procedures and processes associated with the risk of infection and implements strategies to reduce risk.,36.8.1.2|36.8.1.3,6,TRUE
HOSPITAL,37,SE 37,Social Work Service,37.2.1.1,There is adequate space for social workers to treat patients effectively.,37.2.1.3|37.2.1.4,1,TRUE
HOSPITAL,37,SE 37,Social Work Service,37.3.1.1,Policies and procedures that guide the personnel in the management and clinical aspects of the social work service are implemented.,37.3.1.2|37.3.1.3|37.3.1.4,2,TRUE
HOSPITAL,37,SE 37,Social Work Service,37.4.1.1,There is a multidisciplinary/interdisciplinary approach to the development and implementation of a therapeutic programme.,37.4.1.2|37.4.1.3|37.4.1.4|37.4.1.5|37.4.1.6,3,TRUE
HOSPITAL,37,SE 37,Social Work Service,37.5.1.1,Patients and families indicate that they have been informed about participation in the care process.,37.5.1.2|37.5.1.3,4,TRUE
HOSPITAL,37,SE 37,Social Work Service,37.7.1.1,There are processes that support patient and family rights during care.,37.7.1.2|37.7.1.3,5,TRUE
HOSPITAL,37,SE 37,Social Work Service,37.8.1.1,The department identifies the procedures and processes associated with the risk of infection and implements strategies to reduce risk.,37.8.1.2|37.8.1.3,6,TRUE
HOSPITAL,38,SE 38,Audiology Service,38.2.1.1,There is adequate space for audiologists to treat patients effectively.,38.2.1.3|38.2.1.4,1,TRUE
HOSPITAL,38,SE 38,Audiology Service,38.3.1.1,Policies and procedures that guide the personnel in the management and clinical aspects of the audiology service are implemented,38.3.1.2|38.3.1.3|38.3.1.4,2,TRUE
HOSPITAL,38,SE 38,Audiology Service,38.4.1.1,There is a multidisciplinary/interdisciplinary approach to the development and implementation of a therapeutic programme.,38.4.1.2|38.4.1.3|38.4.1.4|38.4.1.5|38.4.1.6,3,TRUE
